"ID","NAME","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","SHIPPINGCITY"
"0018E00000Sv0toQAB","test third party","","","","",""
"0018E00000UtK4nQAF","Lava","Lava","hyde","","",""
"0018E00000Uu8GUQAZ","Test1","","","","8002",""
"0018E00000UjxOlQAJ","Nihari","hitech","hyd","","",""
"0018E00000UtlkRQAR","TW_Distributor_Test","","","","",""
"0018E00000UtJSIQA3","hospital xy","swap","tttrree","","",""
"0018E00000UjyZ4QAJ","ttest","adf","asdf","Spain","43343",""
"0018E00000UjxKqQAJ","Roche","hitech","hyd","","",""
"0018E00000Ujw2HQAR","148 Hospital of Chinese People's Liberation Army","ROAD-2","citytest","Copenhagen","31452",""
"0018E00000Utpr9QAB","TestFOC","Test","test","","60443","test"
"0018E00000UjxFaQAJ","Sridharj","fhsdf","csd","Alava","4444444",""
"0018E00000WAHbMQAX","Lee Denims","","","","",""
"0018E00000WAL4MQAX","myroche","barcelona","barcelona","Ciudad Real","",""
"0018E00000WAJh1QAH","soql1","soql","soql","","",""
"0018E00000PYvaXQAT","GP Node Account","ps1","PC2","Ciudad Real","546565",""
"0018E00000PYocPQAT","test buying account layout service","","","","",""
"0018E00000PYofSQAT","test buying account layout sales","","","","",""
"0018E00000PYnFUQA1","test tax number2 non buying account","test street","Canberra","South Australia","909090","Canberra"
"0018E00000VoONFQA3","attributeeasri","attributeeasri","attributeeasri","","",""
"0018E00000PYs3UQAT","test non buying sales org","test","Sydney","Tasmania","999999",""
"0018E00000VszP6QAJ","Flash Append Account","123","cedar rapids","Alaska","234567","alaska"
"0018E00000VmUi9QAF","Testing_Non-Buying_01 AccName","Spain","Spain","Spain","",""
"0018E00000VoEMtQAN","India NBying IM","123","Hyderabad","Telangana","500008","Hyderabad"
"0018E00000VHvdxQAD","Account hosp123","","","","",""
"0018E00000VHrqmQAD","Account claim23","","","Australian Capital Territory","",""
"0018E00000VHrxMQAT","CaseAcc2","","","California","",""
"0018E00000VJnhzQAD","testsrifeb2017","testps","test pc","Cantabria","9890546",""
"0018E00000VJnsoQAD","Testsriiiiiiiiiiiiiiiiii","tepsps","Test pcccc","","",""
"0018E00000WA7MkQAL","LeadSridd","LeadSridd","LeadSridd","","",""
"0018E00000VKIiqQAH","Demo Session Account","barcelonal","barcelonal","Brandenburg","68165","Mannheim"
"0018E00000PYoeEQAT","test buying accoun layout sales","","","","",""
"0018E00000VmTfyQAF","testsrisrisri","PStress","PC city","Spain","","PC city"
"0018E00000VmTncQAF","ICRtetst","","","","","Hyderabad"
"0018E00000V9OulQAF","IT","street","city","Andhra Pradesh","",""
"0018E00000VA8h1QAD","txfa6ast7cyg","tfhbjn","rtfghbn","","",""
"0018E00000V9V5UQAV","techm","Test","test","","60443",""
"0018E00000V9PEZQA3","testconv","Test","test","Spain","",""
"0018E00000V9V6dQAF","testcon1","test","PUNE","Alava","23456789",""
"0018E00000V9V61QAF","Tech","Test","test","","60443",""
"0018E00000V9RXPQA3","techm","Test","test","","60443",""
"0018E00000V9RraQAF","Olympia United","eee","eee","","",""
"0018E00000V9OzYQAV","testconv","test","test","","",""
"0018E00000UvvmLQAR","jkljlkjkl","jhjkh","ljljk","Spain","",""
"0018E00000UsJ1ZQAV","mass","gvs test","test 123","","",""
"0018E00000UsHUwQAN","Hospital Puerta del Mar","fvdfa","","","",""
"0018E00000UtGfZQAV","PricingNew","","","","",""
"0018E00000UtJRlQAN","ewrwe","tfdr","ytrr","Andhra Pradesh","678789",""
"0018E00000UszxkQAB","Japan Diti account","test","test","Ishikawa-ken","",""
"0018E00000UsY1vQAF","US-66848","US-66848","US-66848","","56778444",""
"0018E00000UscZHQAZ","Test Dist15891","","","","",""
"0018E00000VJ9qTQAT","Feb13Account-Immediate Parent","gachibowli","Hyderabad","","500092","Hyderabad"
"0018E00000VHs2dQAD","CaseAcc3","","","","","Eritrea"
"0018E00000VJ9saQAD","Feb13Account1-parent","barkatpura","Hyderabad","","500092","Hyderabad"
"0018E00000VHrrJQAT","CaseAcc1","","","","",""
"0018E00000VIYaTQAX","AccHierarchyTest","","","","",""
"0018E00000VIMZuQAP","Demo Account IL","","","","",""
"0018E00000VIMa4QAH","Demo Account SLT","","","","",""
"0018E00000VoHHDQA3","us67197","123","california","California","123456","california"
"0018E00000Vo2thQAB","Im Distributer Acc","123","Tesas","Texas","234567","qwer"
"0018E00000VoM0vQAF","tst","st","hyd","Andhra Pradesh","535547",""
"0018E00000WA6TJQA1","Billssa","Billssa","Billssa","","",""
"0018E00000VoIRuQAN","Roche","asdf","city","","",""
"0018E00000VKJ1EQAX","sritestsri","ps5454","pc76586","Castellon","","pc76586"
"0018E00000VoIWOQA3","Roche","NIM","NJI","","546465",""
"0018E00000VoOAFQA3","Sridhartest","Sridhartest","Sridhartest","","",""
"0018E00000VoKX8QAN","Testcont","sdfsd","sdf","","",""
"0018E00000VoIMZQA3","without  salesorg","12","asdfg","Andhra Pradesh","500008","sdfgg"
"0018E00000WA6GtQAL","Billss","Billss","Billss","","",""
"0018E00000VJnwfQAD","sri non buying account","Spain PS","Spain PC","Cadiz","989076565",""
"0018E00000VoDLjQAN","USA NBying IM","123","Texas","Texas","765432","Texsas"
"0018E00000WA6c8QAD","Billssas","Billssas","Billssas","","",""
"0018E00000VmdzXQAR","Price Claim Test","test","Spain","Spain","",""
"0018E00000VoLNdQAN","attribute","fef","attribute","","",""
"0018E00000VoIOjQAN","LeadSri","as","ds","","",""
"0018E00000VJ9oNQAT","Feb13Account-Parent","barcelona1","Barcelona","Burgos","567865",""
"0018E00000VJTAPQA5","TestNCA","serdtfjhk","tyghj","Castellon","",""
"0018E00000VnVchQAF","Im Non Buying Acc","123","asdfg","Berlin","234567","asdf"
"0018E00000VJmDuQAL","Test Acc","pspsps","PCPCPC","Cadiz","9890",""
"0018E00000VJTQjQAP","Test Account Hierarchy","","","","",""
"0018E00000VoLZ1QAN","attributee","attributee","attributee","Andhra Pradesh","",""
"0018E00000VJmF8QAL","Acctestsri","teststreet","testcity","Cantabria","989076",""
"0018E00000VCDsyQAH","FOC-Service-SAT","test-#56","Sydney","Australian Capital Territory","797999","Sydney"
"0018E00000VmY2LQAV","ImAccount","BC","ABC","Uttar Pradesh","224143",""
"0018E00000VoLfbQAF","attributeea","attributee","attributee","","",""
"0018E00000WAuXEQA1","siva l","testetewstrere","dfdsfsadfsadfdsaf","","",""
"0018E00000WCX0NQAX","New Test Account","test","test","","8001",""
"0018E00000WZwWCQA1","Sr1","hitec","reee","","",""
"0018E00000WZwWbQAL","Demo 67400","HitechCity","Hyd","","",""
"0018E00000WCWz9QAH","Demo Account","Eritrea street","Eritrea","","","Eritrea"
"0018E00000WCX0IQAX","Testact1","test","test","Spain","12345",""
"0018E00000WbajjQAB","Acccus","123","sdfghj","Alabama","123456",""
"0018E00000WampCQAR","Terrass Test1","ludwig","barcelona","Ceuta","111111",""
"0018E00000WaeUGQAZ","Avinash Nonbuying","PS1212","spain2323","Cuenca","54656",""
"0018E00000Pg8mWQAR","rp456","test strret","Barcelona","Barcelona","2345676","Barcelona"
"0018E00000PgA96QAF","Hilary Clinton","Street","Chicago","Arizona","999999",""
"0018E00000PfoykQAB","Test account","ts","ts123","","",""
"0018E00000PnggDQAR","test12","","","","",""
"0018E00000QBRTuQAP","Distributor Account Demo","","","","",""
"0018E00000Dla1HQAR","Testing 66","Testing 66","Testing 66","","78787878",""
"0018E00000DlZoUQAV","test 45","Test 54","Test 54","","",""
"0018E00000RKSYfQAP","Test-US-66514-vishal","","","","",""
"0018E00000RKfTzQAL","Account","","","","",""
"0018E00000RKj2mQAD","Royal Cornwall","123 High Street","Truro","Cornwall","TR23 3RT",""
"0018E00000RJvrsQAD","testNam","","","","",""
"0018E00000RKSpLQAX","DMFKLDMG'LASG","","","","",""
"0018E00000RKfY1QAL","spain enable  sharing testing","","","","",""
"0018E00000RKSk8QAH","Checkingtttttttttttttttt","","","","",""
"0018E00000QzW29QAF","German Account Test","test","Berlin","Bavaria","test",""
"0018E00000RVWpVQAX","Phyzer Third Party Distributor","Primary street","City","Barcelona","99847","City"
"0018E00000RVgknQAD","Third Party Distributor - Enabled sharing","Street","City","China","778468","City"
"0018E00000RKjfhQAD","Ragul Disable Sharing","","","","",""
"0018E00000RXjHVQA1","Alisha","","","","",""
"0018E00000RWqTmQAL","Test Archive - Vamshi","FACYS","mannhiem","Cadiz","",""
"0018E00000RV1JCQA1","Testaacount-Archi-India-nonbuy","#123, jaffapet","hyderabad","Telangana","500060","hyderabad"
"0018E00000RWLjhQAH","Archive Account - Spain","Street","City","Barcelona","44332","City"
"0018E00000RKMXZQA5","testram","","","","",""
"0018E00000RKSNSQA5","Vishal-42093 Enhancment","","","","",""
"0018E00000RKT4FQAX","Testingjkddgfjdsgj","","","","",""
"0018E00000RKjeqQAD","Ragul Testing- Sharing Enabled","","","","",""
"0018E00000RKSdtQAH","Testing 87837975","","","","",""
"0018E00000RKjizQAD","TestContactArchive","","","","",""
"0018E00000RJvs2QAD","testNam","","","","",""
"0018E00000RJvuaQAD","ramatest1","","","","",""
"0018E00000RJvm3QAD","Rama test","","","","",""
"0018E00000RKfTpQAL","Spain Account Distributor","","","","",""
"0018E00000RKSICQA5","Test Non Buying","First Street","Husselt","Antwerp","123456",""
"0018E00000QQdtCQAT","persmission test","hyd","hyd","","60443","test"
"0018E00000S9hFwQAJ","Spain Distributor Account","PS1","PC1","Ceuta","",""
"0018E00000RXjMvQAL","Thirdd Party Yes","","","","",""
"0018E00000S8jWzQAJ","Distributor-Account","#45, test 
Barcelona","Barcelona","Barcelona","789098","Barcelona"
"0018E00000S9hJ0QAJ","China Distributor Account","PSS1","PCC1","Hubei","65768",""
"0018E00000U1CwWQAV","Germany country","","","","",""
"0018E00000U1HhnQAF","test","","","","",""
"0018E00000EbUxUQAV","KCC","teststreet23","testcity23","New South Wales","777777",""
"0018E000007dTzrQAE","zipcode test","dgd","fjf","","",""
"0018E000007UF7CQAW","test FOC","test street","test city","Caceres","",""
"0018E00000AqMVzQAN","peer review dist","","","","",""
"0018E000007qnMiQAI","Testnew2","","","","",""
"0018E000007qj9oQAA","TestNew","","","","",""
"0018E00000AqYvAQAV","peer review","Test street ufsufhfhsu","Madrid","Avila","890098",""
"0018E000008UazXQAS","test action test","italy street","italy city","Ascoli Piceno","",""
"0018E00000AqWjjQAF","Distributor Test GMSLS","","","","",""
"0018E00000LPRTSQA5","Test23434","Street1234","City1","","5001704",""
"0018E00000KmWbuQAF","Loser Account Testing","test street2","test city1","Bruck_Mürzzuschlag","555555",""
"0018E00000KmZQ4QAN","Loser account testing2","test","test","Acre","test",""
"0018E00000LOjPYQA1","Testing for TerritoryRequest","st1","Melbourne","South Australia","666666",""
"0018E00000KmWRrQAN","Master Account Testing","test street1","Sydney","New South Wales","777777",""
"0018E00000LOkerQAD","Account for ICR Testing","test","test","Ardennes","666666",""
"0018E00000FQt5GQAT","Demo Account - 38140","abc","hyderabad","","",""
"0018E00000FQ6dOQAT","Test Script Demo Distributor","","","","",""
"0018E000004F1OCQA0","Hospital Puerta del Mar","Calle de Ríos  fshfhfhuRosas","Madrid","","8002","Barcelona"
"0018E000004F1ODQA0","Sub-Devision Hospital Puerta del Mar Lab","La Rambla 1","Test City","","5556","Barcelona"
"0018E000004F1OEQA0","Non-Buying Hospital","La Rambla 3","Barcelona","","8002","Barcelona"
"0018E000004F1OFQA0","148 Hospital of Chinese People's Liberation Army","Main Street","Madrid","Avila","200335","Shanghai"
"0018E000004F1OGQA0","Non-Buying Hospital Shanghai","Main Street 3","jhgjghjg","Anhui","56785","Shanghai"
"0018E00000F5NovQAF","Aon","121212","barcelona","Asturias","454545",""
"0018E00000U3GerQAF","Virtual Account","","","","",""
"0018E00000U25r0QAB","Test_3rd Party","","","Andhra Pradesh","",""
"0018E00000U23QgQAJ","Test3rd party","","","Andhra Pradesh","",""
"0018E00000U3ZUYQA3","test Sharing","shshhshshsh","shhshshs","Baleares","",""
"0018E00000U3UkYQAV","TEST account one","MAIN street","france","","",""
"0018E00000U3TWYQA3","Acct","","","","",""
"0018E00000UGTgrQAH","worknow","","","","",""
"0018E00000U3TdVQAV","TEST ACC M","Main Street","Germany","","",""
"0018E00000UTR64QAH","Demo To Testing Team","","","","",""
"0018E00000UVG98QAH","PC","","","Pará","",""
"0018E00000UTa9rQAD","TestAccount2","add 1234#","GERONA","Gerona","",""
"0018E00000UTxGFQA1","FSE Disti Account","","","","",""
"0018E00000UT91jQAD","User Story Demo","","","","",""
"0018E00000USjjyQAD","Karan Account","barcelona","barcelona","Cadiz","",""
"0018E00000UT7zlQAD","FSE Sharing Test","","","","",""
"0018E00000USrEQQA1","tesd","sdfds","sdfsd","","1234",""
"0018E00000UV2tuQAD","Test Case Unqualified","sfsfsfsf","New york","","",""
"0018E00000UTaVrQAL","Tech mahindra","Hitech city","Hydrabad","","",""
"0018E00000USvo4QAD","FSE Creation Testing","","","","",""
"0018E00000UT8OaQAL","Demo TPT","","","","",""
"0018E00000UTZpRQAX","TestAccount1","address 123#","avila","Avila","",""
"0018E00000UT88YQAT","Resource Share Testing","","","","",""
"0018E00000IqGpBQAV","GVSP","1-90/4/3,HARIJANABASTHI,opp to krishna saphire,
MADHAPUR","HYDERABAD","Telangana","500081",""
"0018E00000Ir3TNQAZ","Sanjay Personal","","","","",""
"0018E00000JG059QAD","CPH non-buying","Main Street","Barcelona","Barcelona","",""
"0018E00000IsPwYQAV","wnrp","test89","test 89","","78965678","test 89"
"0018E00000IHXfPQAX","TestingAccountOtherThanDavid","Madrid","Madrid","Madrid","28003",""
"0018E00000IqCG5QAN","Defect test","dfsd","Alava","Alava","","Alava"
"0018E00000IpO0VQAV","US-65219","KOVVUR","HYDERABAD","Andhra Pradesh","500072","HYDERABAD"
"0018E00000IYJGwQAP","KELOWNA GENERAL HOSPITAL INTERIOR HEALTH AUTHORITY","","","","",""
"0018E00000IUJoSQAX","RexisNonBuying","Madrid","MAdrid","","2367",""
"0018E00000IEwWCQA1","OROMOCTO PUBLIC HOSPITAL","","","","",""
"0018E00000NytTaQAJ","TESTACCT1234","test Street","Kuala Lumpur","","","Test City"
"0018E00000IFtwKQAT","Contact Recordtype Issue","12121","barcelona","Asturias","598989",""
"0018E00000Ir2noQAB","Sanjay Patidar","","","","",""
"0018E00000IqSenQAF","Demo","","","","",""
"0018E00000JzaCeQAJ","KT to Hari","","","","",""
"0018E00000KjT6SQAV","test00","Test street","test city1","Almeria","60443","test"
"0018E00000IsPueQAF","lorp","test34","test45","","5670900","test"
"0018E00000K0tCmQAJ","Test123","test","test","","5001701",""
"0018E00000JjlCtQAJ","Demo 7.4","1-90/4/3,HARIJANABASTHI,opp to krishna saphire,
MADHAPUR","HYDERABAD","Andhra Pradesh","500081","HYDERABAD"
"0018E00000KjQgwQAF","test66","Test","test","","60443","test"
"0018E00000Klaj0QAB","TestforCS","France Street","Paris","","909090",""
"0018E00000KlajwQAB","148 Hospital of Chinese People's Liberation Army","","","","",""
"0018E00000KlohyQAB","testinto CM for CS","TEST STREET","Canberra","Tasmania","456789",""
"0018E00000Jm1cFQAR","Margit's Non-Buying AC","Malaga Street 66","Madrid","","1000","Madrid"
"0018E00000LoiGsQAJ","Demo7.5","","","","",""
"0018E000008s9LnQAI","PUN","","","","",""
"0018E000008s9JIQAY","514992","","","","",""
"0018E000009JyfvQAC","MUS","sa","sa","","4354534",""
"0018E000009K0sZQAS","IT1111","stre","tasdg","Daman und Diu","123e33",""
"0018E000009K22rQAC","nsdfg","aaaaaaa","aaaaa","Dornbirn","1333",""
"0018E000009M8ODQA0","testAcc1","street1","city1","South Australia","",""
"0018E0000099UuxQAE","TestAccFeb16","Galli","Hyderabad","Baden","45657535",""
"0018E000008s906QAA","51499","","","","",""
"0018E000008s9D0QAI","TEst","","","","",""
"0018E000009JyxuQAC","Automobile","street","city","Andhra Pradesh","",""
"0018E000009K0clQAC","ssssssss","testing12345","hyd","Andhra Pradesh","",""
"0018E000009M94NQAS","testAcc2","street2","city2","","",""
"0018E000009JyWFQA0","Patidar Industries","NIM","NJI","","546465",""
"0018E0000099Ph6QAE","dfghj","dfghjkl","dfghjk","","",""
"0018E0000099PNjQAM","514992 dcd","","","","",""
"0018E000009JyaHQAS","Patidar Industries","NIM","NJI","","546465",""
"0018E000009M9RXQA0","testAcc3","street3","city3","","",""
"0018E000009K0W3QAK","Al Nour Lab","sasff","sdfSFS","Assam","123323",""
"0018E000009op69QAA","PUN44","","","","",""
"0018E00000Ah1CEQAZ","Unit testing distributor account two","","","","",""
"0018E000009nbLxQAI","account Demo FOC","spa street","Barcelona","","909876","opera city"
"0018E000009op5zQAA","fdd","","","","",""
"0018E000009xJ03QAE","PUNq","zczxz","asaas","","",""
"0018E00000AgSbvQAF","Rexis-Dev Sanity Account","","","","",""
"0018E00000AgzQpQAJ","test abc","st.abc","hyd","","",""
"0018E00000AgzJ6QAJ","Unity Testing Distributor Account","bn bn","nbn","","n nmbnmb",""
"0018E00000CB8lpQAD","SuMo Account Test 1","Main street","City","","",""
"0018E00000CDSueQAH","US-49795 Peer reiew","sadas","Xd","","",""
"0018E00000CDvhKQAT","CWF SUMO Test Account","Las Ramblas","Barcelona","Barcelona","",""
"0018E00000CFoW2QAL","Cook Hospital","teststreet","testcity","Avila","51234",""
"0018E000007iqPqQAI","US-67070","Hyderabad","Hyderabad","Andhra Pradesh","500072",""
"0018E00000CEI3GQAX","colts","","","","",""
"0018E00000CDzesQAD","Test Ana1","av 4","Barcelona","Barcelona","",""
"0018E00000CFnrOQAT","Indiana Hospital","","","","",""
"0018E00000CE1j3QAD","Account Name","Streeet","City","Acre","05515060",""
"0018E000007iqidQAA","Name1","streeeet","ciity","Alava","500092",""
"0018E00000MrQGHQA3","Test Rama Account","TESt Street1","test city2","","500088",""
"0018E00000NMkDeQAL","Spain Account","t6 34","Mannheim","","68161","Mannheim"
"0018E00000NN64pQAD","cvccxvx","dffdf","dxfgvgvvx","","dfzdff",""
"0018E00000NMzD6QAL","xc vxcvx","cxvxcvx","cxvcxv","","vcvxzcv",""
"0018E00000SedSgQAJ","Testing without user creation","","","","",""
"0018E00000SebLpQAJ","ramadevi1","","","","",""
"0018E00000Suh7nQAB","Haridinesh Canada Acc","asdfasd,
sfasd","asdf","Colorado","23233",""
"0018E00000SfObAQAV","ramadevi2","","","","",""
"0018E00000VJ9tCQAT","Feb13Account1-immediate","secbad","Mannheim","","68165","Mannheim"
"0018E00000UWQnrQAH","rpp","test","Barcelona","Spain","8002","Barcelona"
"0018E00000VJ9rZQAT","Feb13Account-Child","lingampally","Duesseldorf","","40547","Duesseldorf"
"0018E00000Tzd2hQAB","Test Quick Create","afsf","asf","","43433",""
"0018E00000Ujw1YQAR","148 Hospital of Chinese People's Liberation Army","","","","",""
"0018E00000UkIeFQAV","marktest","H NO: 232/A, LIG
Balagi nagar
Kukatpally","Hyderabad","Telangana","500072",""
"0018E00000Fz4r6QAB","Business Demo","","","","",""
"0018E00000Fz9lBQAR","Test Demo","Primary test street","Primary test city","Queensland","","mail test city"
"0018E00000G0A83QAF","POT Demo","","","","",""
"0018E00000HOH1cQAH","7.3 Demo Account - CWF Limited","123 Los Americas","Barcelona","Barcelona","",""
"0018E00000HYkseQAD","Testingg","23232","hyderabad","Almeria","2323232",""
"0018E00000HMfDKQA1","Haridinesh","KPHB","Hyderabad","","500072",""
"0018E00000NcAXqQAN","Test1234","fvdg","dgdgdg","","",""
"0018E00000NcA8HQAV","AccountTest","dggdg","gfedgedrfg","","",""
"0018E00000NcA9EQAV","TestAccountgd","dgdgg","edgedgeg","","",""
"0018E00000D4evQQAR","name2","sstera","cuier","Alava","",""
"0018E00000DhB5uQAF","testroche","kphb","hyd","","",""
"0018E00000OwvxrQAB","test non buying account test3 for related list users in assigned territories","","","","",""
"0018E00000OwtnLQAR","test buysing account layout sales","","","","",""
"0018E00000OwzcKQAR","taxnumber1 testing for buying account layout rebas","","","","",""
"0018E00000Ox0bmQAB","taxnumber1 for buying account layout sales","","","","",""
"0018E00000OwWiVQAV","National Authority of Medicines and Health Products","Parque de Sa&uacute;de de Lisboa - Avenida do Brasil, 53","Lisboa","","1749-004",""
"0018E00000OwWiWQAV","National Institute of Pharmacy","Zr&iacute;nyi U. 3","Budapest","","1051",""
"0018E00000OwWiXQAV","National Medicines Agency","48, Av. Sanatescu","Bucharest","","11478",""
"0018E00000OwWiYQAV","National Organization for Medicines","Messogion Avenue 284","Athens","","15562",""
"0018E00000OwWiZQAV","Norwegian Medicines Agency","Sven Oftedalsvei 6","Oslo","","950",""
"0018E00000OwWiaQAF","Office for Registration of Medicinal Products, Medical Devices and Biocidal Products","Al. Jerozolimskie 181C","Warsaw","","02-222",""
"0018E00000OwWibQAF","Office of Health / Department of Pharmaceuticals","&Auml;ulestr 512","Vaduz","","9490",""
"0018E00000OwWicQAF","Paul Ehrlich Institute","Paul-Ehrlich-Stra&szlig;e 51-59","Langen","","63225",""
"0018E00000OwWidQAF","Spanish Agency for Medicines and Health Products","Parque Empresarial Las Mercedes Edificio 8C/. Campezo, 1","Madrid","","28022",""
"0018E00000OwWieQAF","State Agency of Medicines","1 Nooruse Street","Tartu","","50411",""
"0018E00000OwWifQAF","State Agency of Medicines","15 Jersikas Street","","","",""
"0018E00000OwWigQAF","State Institute for Drug Control","Kvetn&aacute; 11","Bratislava 26","","825 08",""
"0018E00000OwWihQAF","State Medicines Control Agency","_irm_n_ g. 139A","Vilnius","","9120",""
